,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
63,옥수수밥,단호박무국,소고기버섯불고기,콩나물무침,열무김치,empty,S우유미숫가루,돼지고기양배추덮밥,들깨채소국,찐만두,토마토두부샐러드,비트초절이,S귤(80g),S우유(100ml),찹쌀밥,삼계탕,채소비빔소면,empty,깍두기
64,찹쌀팥밥(40),달래맑은국,새우달걀말이,파래자반,나박김치,S사과(50g),S요구르트,찹쌀밥,애호박새우젓국찌개,훈제오리단호박볶음,참나물유자청무침,비트초절이,S마카로니채소샐러드,S수제블루베리우유,쌀밥,순두부찌개,돈까스,무말랭이,백김치
65,파프리카유부초밥,실파장국,다진소고기메추리알조림,청경채사과무침,나박김치,S참외샐러드,S떠먹는요구르트(100ml),찹쌀밥,만두닭개장,안매운오삼불고기,쑥갓두부무침,총각김치,S백설기,S우유(150ml),쌀밥,감자탕,주꾸미볶음,검정콩조림,깍두기
66,수수밥(40),만두국,달걀프라이,느타리버섯나물,콜라비나박김치,S팥죽,empty,밤콩밥,해물탕,김치녹두전,잡채,단배추물김치,S귤(80g),S우유(150ml),불고기채소비빔밥,우동국물,온두부찜,empty,배추김치
67,옥수수밥,단호박된장국,주꾸미채소간장볶음,가지양념찜,열무물김치,S바나나(50g),S우유(100ml),크림소스스파게티,empty,감자튀김,양배추유자청샐러드,비트초절이,empty,S고구마쉐이크,찹쌀팥밥,두부전골,돼지사태찜,콩나물무침,깍두기
68,찹쌀현미밥,애호박맑은국,시금치달걀찜,냉이무침,단배추물김치,S사과(50g),S우유(200ml),소고기가지덮밥,실파장국,어묵구이+케첩,empty,총각김치,empty,S복숭아호두스무디,찹쌀밥,감자국,병어조림,팽이버섯볶음,열무김치
69,흑미밥,재첩국,메추리알곤약조림,얼갈이배추겉절이,깍두기,S대추우유스프,S사과(50g),새우편마늘볶음밥,두부맑은국,오이샐러드,알감자조림,나박김치,empty,S수제블루베리우유,밤콩밥,감자호박국,돼지고기찹쌀구이(간장),호두마늘종볶음,열무물김치
70,찹쌀밥,조랭이떡미역국,스크램블에그,브로콜리깨소스무침,단배추물김치,S삶은감자,S수제바나나우유,찹쌀현미밥,두부전골,(저염)닭가슴살데리야끼조림,그린샐러드,깍두기,S연두부샐러드(오리엔탈드레싱),S쌀음료,소고기가지덮밥,채소스프,참외노각무침,도라지나물,배추김치
71,감자밥(40),애호박맑은국,소고기달걀장조림,돌나물유자청무침,백김치,S모닝빵,S수제블루베리우유,옥수수밥,소고기버섯찌개,닭가슴살단호박조림,팽이버섯나물,나박김치,empty,S검은콩우유(100ml),쌀밥,콩나물육개장,미트볼피망조림,청경채사과무침,배추김치
72,현미밥,감자호박국,게맛살파프리카볶음,김자반,비트초절이,S블루베리(50g),S떠먹는요구르트(100ml),찹쌀팥밥,두부대합탕국,메추리알곤약조림,방풍나물,콜라비나박김치,empty,S검은콩우유(200ml),율무밥,(저염)닭곰탕,동그랑땡채소조림,양상추유자청무침,얼갈이배추김치
73,쌀밥(추가),미역만두국,감자어묵조림,양배추나물,나박김치,S바나나(100g),S우유(200ml),채소비빔밥,애호박새우젓국찌개,소고기단호박찜,empty,단배추물김치,S치즈스틱,S오렌지주스,검정콩밥,콩나물국,미트볼토마토소스조림,가지무침,열무김치
74,찹쌀밥,갈비탕+당면,달걀숙주냉채,브로콜리깨소스무침,깍두기,empty,S토마토(100g),소고기굴소스볶음밥,미니김치우동,채소옥수수튀김,사과오렌지샐러드(요거트드레싱),비트초절이,empty,S호두우유,찹쌀밥,두부전골,미트볼피망조림,건새우애호박볶음,배추김치
75,소고기김주먹밥,당근스프,마카로니콘샐러드,empty,나박김치,empty,S우유(200ml),옥수수밥,단호박수제비국,주꾸미채소간장볶음,고구마순된장무침,총각김치,S고구마샐러드(마요네즈),S오렌지주스,찹쌀밥,안매운닭개장,두부구이,무말랭이,배추김치
