name,ingredient,weight,category,note
,"호박, 애호박, 생것",5,,
,"당근, 뿌리, 생것",3,,
,소금,0.2,,
,참기름,1.2,,
S감자찹쌀죽,"감자, 대지, 생것",15,수프(간식),한식
,"찹쌀, 백미, 생것",10,,
,참기름,1.2,,
,소금,0.2,,
,"멥쌀, 백미, 생것",15,,
S감자채소죽,"감자, 대지, 생것",15,수프(간식),한식
,"멥쌀, 백미, 생것",20,,
,"브로콜리, 생것",5,,
,"양파, 생것",5,,
,"호박, 애호박, 생것",5,,
,"당근, 뿌리, 생것",3,,
,소금,0.2,,
,참기름,1.2,,
S감자치즈죽,"감자, 대지, 생것",15,수프(간식),한식
,"치즈, 체다",5,,
,소금,0.2,,
,"멥쌀, 백미, 생것",20,,
S검은깨죽,"참깨, 검정깨, 말린것",11,수프(간식),한식
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S검은콩죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"콩(대두), 서리태, 말린것",10,,
,참기름,0.5,,
,"소금, 정제염",0.2,,
S검정콩두유죽,"콩(대두), 서리태, 말린것",10,수프(간식),한식
,"두유, 대두",30,,
,"멥쌀, 백미, 생것",25,,
S게맛살죽,게맛살,15,수프(간식),한식
,참기름,1.2,,
,"양파, 생것",5,,
,"당근, 뿌리, 생것",5,,
,"멥쌀, 백미, 생것",25,,
S게살죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"게, 대게, 삶은것",15,,
,"당근, 뿌리, 생것",5,,
,"양파, 생것",5,,
,"파, 생것",2,,
,참기름,1.2,,
,소금,0.2,,
S게살채소스프,"게, 대게, 삶은것",20,수프(간식),한식
,"양파, 생것",10,,
,버터,3,,
,"밀, 중력밀가루",5,,
,"당근, 뿌리, 생것",5,,
,"달걀, 생것",30,,
S게살치즈죽,"게, 대게, 삶은것",15,수프(간식),한식
,"양파, 생것",5,,
,참기름,0.5,,
,"당근, 뿌리, 생것",5,,
,"치즈, 체다",5,,
,"멥쌀, 백미, 생것",25,,
S견과죽,"호두, 말린것",3,수프(간식),한식
,소금,0.2,,
,"아몬드, 말린것",3,,
,"멥쌀, 백미, 생것",25,,
S고구마두부죽,"고구마, 분질(밤) 고구마, 생것",15,수프(간식),한식
,두부,10,,
,소금,0.2,,
,"멥쌀, 백미, 생것",20,,
S고구마스프,"고구마, 분질(밤) 고구마, 생것",20,수프(간식),양식
,"밀, 중력밀가루",5,,
,"양파, 생것",10,,
,버터,5,,
,소금,0.2,,
,"후추, 검은후추, 가루 ",0.1,,
,우유,50,,
S고구마죽,"멥쌀, 백미, 생것",20,수프(간식),한식
,"고구마, 분질(밤) 고구마, 생것",15,,
,참기름,1.2,,
,소금,0.2,,
S고구마청경채죽,"고구마, 분질(밤) 고구마, 생것",15,수프(간식),한식
,"청경채, 생것",10,,
,소금,0.2,,
,참기름,1.2,,
,"멥쌀, 백미, 생것",20,,
S고구마타락죽,"고구마, 분질(밤) 고구마, 생것",15,수프(간식),한식
,"멥쌀, 백미, 생것",20,,
,소금,0.2,,
,우유,50,,
S근대된장죽,"근대, 생것",15,수프(간식),한식
,"된장, 재래",1,,
,"양파, 생것",5,,
,참기름,1.2,,
,"호박, 애호박, 생것",5,,
,"멥쌀, 백미, 생것",25,,
S근대죽,"근대, 생것",15,수프(간식),한식
,소금,0.2,,
,"양파, 생것",5,,
,참기름,1.2,,
,"당근, 뿌리, 생것",5,,
,"멥쌀, 백미, 생것",25,,
S김가루찹쌀죽,"김, 김밥용김, 말린것",1,수프(간식),한식
,참기름,1.2,,
,"양파, 생것",5,,
,"당근, 뿌리, 생것",5,,
,"감자, 대지, 생것",10,,
,"찹쌀, 백미, 생것",10,,
,소금,0.2,,
,"멥쌀, 백미, 생것",10,,
S김가루채소죽,"김, 김밥용김, 말린것",1,수프(간식),한식
,참기름,1.2,,
,소금,0.2,,
,"양파, 생것",5,,
,"당근, 뿌리, 생것",5,,
,"감자, 대지, 생것",10,,
,"호박, 애호박, 생것",5,,
,"멥쌀, 백미, 생것",20,,
S김치누룽지죽,"김치, 배추 김치",15,수프(간식),한식
,"멥쌀, 백미, 생것",25,,
S김치죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"김치, 배추 김치",15,,
,참기름,1.2,,
,소금,0.2,,
S김치치즈죽,"김치, 배추 김치",15,수프(간식),한식
,"치즈, 체다",5,,
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S깨죽,"참깨, 검정깨, 말린것",11,수프(간식),한식
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S녹두죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"녹두, 말린것",10,,
,참기름,1.2,,
,소금,0.2,,
S누룽지죽,"멥쌀, 백미, 생것",25,수프(간식),한식
S누룽지치즈죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,소금,0.2,,
,"치즈, 체다",5,,
S느타리버섯죽,"느타리버섯, 생것",15,수프(간식),한식
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
,참기름,1,,
S늙은호박죽,"호박, 늙은호박, 생것",15,수프(간식),한식
,"멥쌀, 백미, 생것",15,,
,소금,0.2,,
,"찹쌀, 백미, 생것",10,,
S다시마흰살생선죽,"다시마, 생것",5,수프(간식),한식
,참기름,1.2,,
,"명태, 동태, 냉동",15,,
,"멥쌀, 백미, 생것",25,,
S단팥죽,"팥, 붉은팥, 말린것",30,수프(간식),한식
,소금,0.2,,
,"설탕, 백설탕",2,,
,"찹쌀, 백미, 생것",15,,
S단호박스프,"호박, 단호박, 생것",25,수프(간식),양식
,"양파, 생것",5,,
,"밀, 중력밀가루",5,,
,버터,5,,
,소금,0.2,,
,"후추, 검은후추, 가루 ",0.1,,
S단호박죽,"호박, 단호박, 생것",30,수프(간식),한식
,"찹쌀, 백미, 생것",15,,
,"설탕, 백설탕",2,,
,소금,0.2,,
S단호박크림스프,"호박, 단호박, 생것",20,수프(간식),양식
,우유,50,,
,"양파, 생것",10,,
,"밀, 중력밀가루",5,,
,"후추, 검은후추, 가루 ",0.1,,
,소금,0.2,,
,버터,5,,
S달걀당근죽,"달걀, 생것",20,수프(간식),한식
,참기름,1.2,,
,"당근, 뿌리, 생것",5,,
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S달걀부추죽,"달걀, 생것",30,수프(간식),한식
,"부추, 재래종, 생것",10,,
,참기름,1.2,,
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S달걀죽,"달걀, 생것",20,수프(간식),한식
,"감자, 대지, 생것",3,,
,참기름,1.2,,
,"양파, 생것",3,,
,"호박, 애호박, 생것",3,,
,"당근, 뿌리, 생것",3,,
,"멥쌀, 백미, 생것",25,,
S달걀채소죽,"달걀, 생것",20,수프(간식),한식
,"멥쌀, 백미, 생것",25,,
,"당근, 뿌리, 생것",5,,
,"양파, 생것",5,,
,참기름,1.2,,
,"파, 생것",1,,
,소금,0.2,,
S닭가슴살옥수수죽,"닭고기, 살코기, 생것",15,수프(간식),한식
,"옥수수, 메옥수수, 생것",10,,
,소금,0.2,,
,"멥쌀, 백미, 생것",20,,
S닭가슴살채소죽,"닭고기, 살코기, 생것",15,수프(간식),한식
,참기름,1.2,,
,"양파, 생것",3,,
,"호박, 애호박, 생것",3,,
,"당근, 뿌리, 생것",3,,
,"감자, 대지, 생것",3,,
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S닭고기흑임자죽,"닭고기, 살코기, 생것",15,수프(간식),한식
,"참깨, 검정깨, 말린것",8,,
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S닭백숙,"닭고기, 성계, 생것",30,수프(간식),한식
,"양파, 생것",5,,
,"찹쌀, 백미, 생것",20,,
,"대추, 말린것",0.5,,
,"인삼, 수삼, 생것",1,,
,소금,0.2,,
,"마늘, 구근, 생것",0.2,,
,"후추, 검은후추, 가루 ",0.1,,
S닭살가지죽,"닭고기, 살코기, 생것",15,수프(간식),한식
,"가지, 생것",10,,
,참기름,1.2,,
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S닭살배추죽,"닭고기, 살코기, 생것",15,수프(간식),한식
,"배추, 생것",10,,
,참기름,1.2,,
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S닭살양배추죽,"닭고기, 살코기, 생것",15,수프(간식),한식
,참기름,1.2,,
,"양배추, 생것",10,,
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S닭영양죽,"닭고기, 성계, 생것",15,수프(간식),한식
,"당근, 뿌리, 생것",3,,
,"찹쌀, 백미, 생것",15,,
,"멥쌀, 백미, 생것",5,,
,"기장, 도정, 생것",1,,
,"수수, 도정, 생것",1,,
,"밤, 생것",2,,
,"파, 대파, 생것",1,,
,"대추, 말린것",0.5,,
,"인삼, 수삼, 생것",1,,
,"마늘, 구근, 생것",0.2,,
,소금,0.2,,
S닭죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"닭고기, 가슴(껍질 제거), 생것",15,,
,참기름,1.2,,
,소금,0.2,,
,"마늘, 구근, 생것",0.2,,
S당근김죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"당근, 뿌리, 생것",15,,
,소금,0.2,,
,참기름,0.2,,
,"김, 김밥용김, 말린것",0.2,,
S당근스프,우유,50,수프(간식),양식
,"당근, 뿌리, 생것",30,,
,"밀, 중력밀가루",5,,
,버터,5,,
,소금,0.2,,
,"후추, 검은후추, 가루 ",0.1,,
S당근죽,"당근, 뿌리, 생것",15,수프(간식),한식
,"멥쌀, 백미, 생것",25,,
,소금,0.2,,
,참기름,1.2,,
S당근치즈스프,"당근, 뿌리, 생것",20,수프(간식),양식
,"양파, 생것",5,,
,버터,5,,
,"밀, 중력밀가루",5,,
,우유,50,,
,소금,0.2,,
,"후추, 검은후추, 가루 ",0.1,,
,"치즈, 체다",5,,
S당근치즈죽,"당근, 뿌리, 생것",15,수프(간식),한식
,"멥쌀, 백미, 생것",25,,
,소금,0.2,,
,"치즈, 체다",5,,
S당근크림스프,"당근, 뿌리, 생것",20,수프(간식),양식
,우유,50,,
,"양파, 생것",10,,
,"밀, 중력밀가루",5,,
,"후추, 검은후추, 가루 ",0.1,,
,소금,0.2,,
,버터,5,,
S당근타락죽,"당근, 뿌리, 생것",15,수프(간식),한식
,"멥쌀, 백미, 생것",25,,
,우유,50,,
,"양파, 생것",10,,
,소금,0.2,,
S대구채소죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"대구, 생것",15,,
,"당근, 뿌리, 생것",5,,
,소금,0.2,,
,"양파, 생것",5,,
S대두콩죽,"콩(대두), 노란콩, 말린것",10,수프(간식),한식
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S대추우유스프,"대추, 말린것",5,수프(간식),한식
,우유,50,,
,버터,5,,
,"양파, 생것",10,,
,소금,0.2,,
,"밀, 중력밀가루",5,,
S대추우유죽,"대추, 말린것",5,수프(간식),한식
,우유,50,,
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S동태살죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"명태, 동태, 냉동",15,,
,"간장, 재래",1,,
,참기름,1.2,,
,"파, 생것",1,,
S돼지고기채소죽,"돼지고기, 살코기, 생것",15,수프(간식),한식
,"양파, 생것",5,,
,참기름,1.2,,
,소금,0.2,,
,"호박, 애호박, 생것",5,,
,"당근, 뿌리, 생것",5,,
,"멥쌀, 백미, 생것",25,,
S된장취나물죽,"된장, 개량",1,수프(간식),한식
