,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (BetaCarotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"살구, 생것",과일류,30,1.2,0.05,7.12,1.9,15,0.45,1,0,2280,0.078,0.032,0,13.59,9.54
"살구, 말린것",과일류,258,3.21,0.18,68.39,10.4,82,2.31,2,0,1669,0.312,0.041,0,59.52,58.43
"살구, 통조림",과일류,48,0.63,0.04,12.34,1.6,12,0.3,4,0,1010,0.018,0.019,4.9,0,0
"살구, 넥타",과일류,41,0.2,0.1,9.9,0,2,0.5,1,0,690,0.02,0.01,1,0,0
"살구, 잼",과일류,304,0.46,0.03,75.36,2.8,6,0.21,4,0,340,0,0.012,23.11,9.04,0
"석류, 생것",과일류,77,0.29,0.2,20.71,5.8,6,0.26,1,0,3,0.101,0.022,7.08,78.75,2.69
"소귀나무 열매, 생것",과일류,24,0.8,0.6,4.6,0,3,0.9,23,0,10,0.13,0.26,7,0,0
"수박, 적육질, 생것",과일류,31,0.79,0.05,7.83,0.2,6,0.18,0,0,853,0.024,0.03,0,13.86,2.93
"수박, 황육질, 생것",과일류,36,0.65,0.05,9.26,0.7,4,0.2,1,0,100,0.009,0.038,3.1,13.84,2.48
"산자나무 열매(씨벅톤), 생것",과일류,70,1,3.8,9.7,0,6,2.8,20,0,0,0.1,0.07,91,0,0
"아떼모야, 생것",과일류,73,1.2,0.1,19,0,11,0.2,2,0,2,0.13,0.1,10,0,0
"아로니아, 네로, 생것",과일류,60,0.82,0.21,15.41,7.1,33,0.37,0,0,712,0,0.187,2.63,121.78,13.54
"아로니아, 바이킹, 냉동",과일류,68,1.08,0.23,17.45,8.9,45,0.56,0,0,1183,0,0.165,3.38,127.84,16.63
"아보카도, 생것",과일류,187,2.5,18.7,6.2,5.3,9,0.7,7,0,53,0.1,0.21,15,2000,130
"아세로라, 감미종, 생것",과일류,36,0.7,0.1,9,1.9,11,0.5,7,0,370,0.03,0.04,800,0,0
"아세로라 주스, 과즙 음료(10%)",과일류,42,0.1,0,10.5,0.2,1,0.1,1,0,35,0,0,120,0,0
"애플수박, S비너스, 생것",과일류,40,0.94,0.81,8.39,0,0,0.19,0,0,1090,0.174,0.017,3.02,21.69,4.35
"앵두, 생것",과일류,61,1.1,0.3,15.2,0,23,0.5,10,0,4,0.06,0.04,17,0,0
"엘더베리, 생것",과일류,73,0.66,0.5,18.4,7,38,1.6,6,0,0,0.07,0.06,36,0,0
"오디, 생것",과일류,56,0.8,0.4,14,0,36,0.7,1,0,48,0.11,0.07,28,0,0
"오디, 재래종, 생것",과일류,54,2.6,0.3,12,0,45,2.3,16,0,50,1.47,0.07,5,0,0
"오렌지, 생것",과일류,44,0.9,0.1,11.2,0,33,0.2,1,0,90,0.11,0.02,43,0,0
오렌지 마멀레이드,과일류,223,0.4,0.1,61.4,0,15,0.3,16,0,8,0.01,0,5,0,0
오렌지 주스,과일류,42,0.7,0.2,10.5,0,11,0.2,2,0,74,0.09,0.03,40,0,0
