,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (BetaCarotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"크랜베리, 생것",과일류,46,0.46,0.13,11.97,3.6,8,0.23,2,0,38,0.012,0.02,14,0,0
"크랜베리, 말린것",과일류,314,0.25,0.58,85.73,5.6,8,0.27,2,0,24,0.022,0.055,0.73,105.52,17.98
"크랜베리 주스, 칵테일",과일류,54,0,0.1,13.52,0,3,0.1,2,0,5,0,0,42.3,0,0
"키위, 생것",과일류,64,0.8,1,14.8,0,30,1,2,0,25,0.13,0.03,72,0,0
"키위, 골드, 생것",과일류,54,0.77,0.26,13.73,2,19,1.72,1,0,46,0.007,0.052,90.94,58.59,119.02
"키위, 그린, 생것",과일류,66,0.93,0.63,16.08,2.6,30,0.32,2,0,84,0.175,0.057,86.51,89.66,373.08
"키위 주스, 퓨레 40%",과일류,180,0.25,0,49.68,2,9,0.02,154,0,3,0,0.017,53.62,0,0
"탱자, 생것",과일류,84,1.3,1.5,18.5,0,9,0.1,2,0,14,0.07,0.08,132,0,0
"파인애플, 생것",과일류,53,0.46,0.04,14.32,2.5,16,0.09,0,0,62,0.052,0.087,45.43,7.38,7.43
"파인애플, 고형물, 통조림",과일류,78,0.31,0.04,19.18,1.7,8,0.17,1,0,0,0.045,0.048,7.91,3.82,8.56
"파인애플, 액즙, 통조림",과일류,76,0.13,0,18.81,0,6,0.15,1,0,0,0.011,0.233,8.92,0.21,0.16
"파인애플, 넥타",과일류,71,0.3,0,17.4,0,4,1,2,0,0,0.09,0.03,17,0,0
"파인애플 주스, 캔",과일류,53,0.36,0.12,12.87,0.2,13,0.31,2,0,3,0.058,0.021,10,0,0
파인애플 주스,과일류,43,0.39,0.03,11.52,0,16,0.13,2,0,10,0.024,0.067,19.6,5.9,4.03
"파파야, 생것",과일류,38,0.7,0.1,9.8,0,22,0.8,9,0,53,0.09,0.02,37,0,0
"파파야, 미숙, 생것",과일류,27,0.38,0.04,7.03,2.1,21,0.18,6,0,11,0.077,0.017,18.42,12.8,2.79
