,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
S크림떡볶이,132.552,3.5397999999999996,7.3876,13.002,0.4375,35.370999999999995,0.19690000000000002,229.57700000000003,33.888083335025,0.037305,0.09224,7.1251,492.7975,40.5525
S크림리조또,220.36,5.5581,10.501,24.5642,0.23600000000000002,55.21,0.4517000000000001,117.56,61.16666666995,0.10721,0.10117000000000001,10.1067,1798.4222,43.70579999999999
S크림소스스파게티,139.011,4.28738,5.28882,18.6479,0.9007999999999999,41.40899999999999,0.40022000000000013,172.81799999999998,31.885666668032,0.038398,0.086596,4.13296,409.38743999999997,33.81696000000001
S(우유제외)토마토스파게티,147.57,4.412999999999999,2.6298,26.757299999999997,1.3900000000000001,14.8,0.7270000000000001,82.07999999999998,14.974166666600002,0.05615,0.06065,0.588,349.7465000000001,30.215999999999998
S토마토스파게티,148.98000000000002,4.424699999999999,2.9187,26.4498,1.3900000000000001,14.680000000000001,0.7279000000000001,73.49999999999999,27.8841666677,0.05615,0.06173,0.588,272.1797,21.165
S톳채소튀김,126.83000000000001,3.1382,2.9511,21.1795,1.149,39.14,0.7110000000000001,190.49,51.3650000024,0.05243000000000001,0.08055999999999999,1.7456,1596.2548000000002,20.962400000000002
S파래전,63.66,1.3940000000000001,2.1312,9.3576,0.51,9.34,0.4814,106.53999999999999,0.0,0.03884,0.11983999999999999,3.6012,1453.9614,14.066199999999998
S파프리카유부초밥,159.51000000000002,4.7905999999999995,4.96261,22.91272,0.30600000000000005,48.44500000000001,1.06123,173.66200000000003,19.57000000133,0.06860999999999999,0.024960000000000003,5.196199999999999,145.20386000000002,2.3153799999999998
S피망잡채,66.344,0.5025999999999999,2.2256800000000005,11.20978,0.8870000000000001,14.926,0.6089000000000001,98.122,30.441833335034,0.015009999999999999,0.052660000000000005,7.273000000000001,1482.1689000000001,11.68574
S해물굴소스볶음밥,133.096,6.376950000000001,1.5728800000000003,22.16483,0.2565,18.026999999999997,0.8366,152.82799999999997,23.141166668284,0.06698,0.037149999999999996,1.2043,783.28655,5.10904
S해물볶음우동,119.24199999999998,4.751150000000001,1.8442,21.00575,2.1345,10.530999999999999,0.3025,280.02599999999995,10.13433333405,0.061549999999999994,0.08911000000000002,2.3690999999999995,976.6394499999999,14.921399999999998
S해물파전,73.8,5.4218,3.0287,5.7705,0.5640000000000001,34.06,1.4259,86.60999999999999,47.58250000169,0.025700000000000004,0.13562,2.8366,1537.6951,18.192999999999998
S후리가케주먹밥,118.75,2.0747,1.3526,23.6322,0.31300000000000006,9.38,0.4179000000000001,953.06,14.7066666676,0.07481,0.07367,1.4606,704.4997,4.4354
감자밥(75),213.05,3.922,0.228,46.741,0.54,5.65,0.831,4.6000000000000005,0.18333333315,0.1385,0.0164,2.102,1.734,0.36800000000000005
감자밥(90),252.7,4.6625,0.27,55.445,0.675,6.8,0.99,5.45,0.21666666645,0.16450000000000004,0.019750000000000004,2.6275,2.1675,0.46
