,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"홍차, 추출",2,0.23,0.04,0.26,0,1,0,1,0,0,0.075,0.36,1.04,0
"홍차, 캔",30,0.1,0,7.3,0,2,0,2,0,0,0,0,0,0
"홍차, 티백",311,20.3,2.5,51.7,38.1,470,17,3,0,0.1,0.8,0,0,0
과일채소 음료,39,0.86,0.05,8.66,0.5,20,0.31,54,218.9166667,0.024,0.071,3.37,25.56,4.11
"과일채소 음료, 녹즙, 케일, 신선초, 당근, 돌미나리",28,0.99,0.11,5.67,1.2,95,0.24,27,106.5,0.053,0.083,3.26,28.5,44.14
기능성음료,56,0,0.01,13.89,1.3,0,0,30,0,0,1.623,500,0,0
레모네이드,38,0,0,9.56,0,0,0,1,0,0,0,3.46,0.43,0
매실 음료,55,0.1,0.2,13.1,0,1,0.3,5,6.5,0.01,0.06,4,0,0
"쉐이크, 딸기맛",113,3.4,2.8,18.9,0.4,113,0.11,83,26,0.045,0.195,0.8,0,0
"쉐이크, 바닐라맛",148,3.37,6.52,19.59,0.9,115,0.46,81,91,0.026,0.66,0,0,0
"쉐이크, 초콜릿맛",119,3.05,2.7,21.15,0.3,132,0.31,111,18.33333333,0.047,0.222,0,0,0
"식혜, 캔",32,0.06,0,7.91,1,3,0.02,2,0,0,0.004,0,0.34,0
쌀 음료,54,0.2,0.8,11.4,0,6,0,6,0.083333333,0.01,0,13,0,0
"젖산음료, 복숭아맛",36,0.21,0.01,8.85,1.8,11,0.02,39,0.5,0,0.003,24.38,0.69,0
"이온 음료, 레몬향",37,0,0,9.16,0,0,0,44,0,0,0.002,4.44,0.16,0
"탄산 음료, 레몬소다",44,0,0,10.88,0,3,0.01,2,0,0,0.001,0.17,0.39,0
"탄산 음료, 보리소다",47,0,0,11.77,0,2,0,12,0,0.271,0.39,41.54,0.26,0
"탄산 음료, 사이다",40,0,0,9.98,0,2,0.01,1,0,0,0,0,0.65,0
"탄산 음료, 소다수",0,0,0,0,0,5,0.01,21,0,0,0,0,0,0
"탄산 음료, 오렌지소다",48,0,0,12.08,0,2,0,3,0,0,0,0,0.38,0
"탄산 음료, 요구르트소다",47,0,0,11.74,0,9,0,4,0,0,0.018,0,0.46,0
"탄산 음료, 저칼로리콜라",2,0.11,0.03,0.29,0,3,0.11,8,0,0.005,0.023,0,0,0
"탄산 음료, 진저에일",34,0,0,8.76,0,3,0.18,7,0,0,0,0,0,0
