,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"Tanner crab(Chionoecetes opilio), Boiled",Fish and shellfish and other seafood,69,15,0.6,0.1,0,120,0.7,240,0,0.21,0.57,0,3,1
"Tanner crab(Chionoecetes opilio), Canned",Fish and shellfish and other seafood,73,16.3,0.4,0.2,0,68,0.5,670,0,0,0.03,0,1,1
"Tanner crab(Chionoecetes opilio), Raw, Yeongdeok",Fish and shellfish and other seafood,60,8.4,2.6,0.1,0,78,1.1,475,0.75,0.02,0.06,0,0,0
"Japanese swimming crab(Charybdis japonica), Raw",Fish and shellfish and other seafood,85,14.8,1.6,2,0,79,1.9,0,0,0,0,0,0,0
"Eiocheir japoncus, Raw",Fish and shellfish and other seafood,70,12.3,1.6,0.8,0,4278,3.8,130,136.8333333,0.07,0.31,0,0,0
"Helice tridens(Helice tridens tridens), Raw",Fish and shellfish and other seafood,66,11.9,1.3,0.9,0,4668,4.8,134,0,0.03,0.09,0,0,0
"Red king crab(Paralithodes camtschaticus), Raw",Fish and shellfish and other seafood,67,13.7,0.7,0.6,0,69,2.1,550,0,0.04,0.08,0,0,0
"Red king crab(Paralithodes camtschaticus), Boiled",Fish and shellfish and other seafood,80,17.5,0.5,0.3,0,48,0.2,310,0.666666667,0.07,0.06,0,2,0
"Reticular egg crab(Atergatis reticulatus), Raw",Fish and shellfish and other seafood,87,18.8,0.3,1.1,0,66,0.6,0,0,0,0,0,0,0
"Chinese mitten crab(Eriocheir sinensis), Raw",Fish and shellfish and other seafood,171,14.4,12,0.2,0,359,11.4,0,200,0.04,0.25,1,0,0
"Red snow crab(Chionoecetes japonicus), Raw",Fish and shellfish and other seafood,49,10.5,0.3,0.3,0,211,1.5,0,0,0,0,0,0,0
"Imitation crab meat, Stick, Raw",Fish and shellfish and other seafood,118,10.6,0.1,18.6,0,218,0.8,792,0,0.03,0.12,0,0,0
"Red frog crab(Ranina ranina), Salt and fermented",Fish and shellfish and other seafood,61,12.2,0.6,0.8,0,3750,3.4,0,0,0.1,0.5,0,0,0
"Sea hare(Aplysia kurodai), Raw",Fish and shellfish and other seafood,36,5.8,1,0.5,0,109,1.7,0,0,0.02,0.04,1,0,0
"False sea hare(Notarchus punctatus), Raw",Fish and shellfish and other seafood,43,7.7,0.9,0.5,0,117,2.2,0,0,0.03,0.05,1,0,0
"Beka squid(Loligo beka), Raw",Fish and shellfish and other seafood,78,13.6,1.8,1,0,48,1,152,0,0.02,0.1,0,0,0
"Beka squid(Loligo beka), Boiled and dried",Fish and shellfish and other seafood,285,51.3,6.6,1.7,0,505,4.4,1060,70,0.35,0.48,1,0,0
"Toyama squid, Raw",Fish and shellfish and other seafood,91,14.4,3,0.6,0,9,5,170,15,0.15,0.2,0,0,0
"Sparkling enope squid(Watasenia scintillans), Boiled",Fish and shellfish and other seafood,104,17.7,2.9,0.4,0,22,1.1,240,1900,0.2,0.3,0,9,5
"Sparkling enope squid(Watasenia scintillans), Simmered in soy sauce",Fish and shellfish and other seafood,260,27,6.7,22.9,0,26,2.7,1200,690,0.09,0.21,0,48,25
"Sparkling enope squid(Watasenia scintillans), Smoked and seasoned",Fish and shellfish and other seafood,325,43.1,7.5,21.3,0,55,10,1500,150,0.4,0.5,0,39,19
"Swordtip squid(Loligo edulis), Raw",Fish and shellfish and other seafood,70,14.7,0.5,0.8,0,22,0.9,0,0,0,0,0,0,0
"Beka squid(Loligo beka), Salt-fermented",Fish and shellfish and other seafood,88,16,2,0.3,0,110,5.6,1436,0,0.09,0.12,0,0,0
"Beka squid(Loligo beka), Seasoned, Salt-fermented",Fish and shellfish and other seafood,115,9.6,1.8,14.8,0,30,0.5,1687,74.25,0.14,0.06,4,0,0
"Whiparm octopus(Octopus variabilis), Raw",Fish and shellfish and other seafood,59,12.99,0.43,0,0,26,1.48,479,0,0.03,0,0,2.7,0.2
"Whiparm octopus(Octopus minor), Raw",Fish and shellfish and other seafood,55,11.5,0.6,0.1,0,15,0.5,227,0,0.04,0.05,0,0,0
"Common sea squirt(Halocynthia roretzi), Wild-caught, Raw",Fish and shellfish and other seafood,79,7.3,2,7.8,0,89,1.7,0,0,0.05,0.2,2,0,0
"False sea squirt(Pyura vittata), Raw",Fish and shellfish and other seafood,64,7.4,1.5,5,0,38,2.4,0,0,0.03,0.16,2,0,0
"Golden sea squirt(Halocynthia aurantium), Raw",Fish and shellfish and other seafood,77,9.2,2.6,3.7,0,37,1.8,0,0,0.08,0.12,2,0,0
"Common sea squirt(Halocynthia roretzi), Farm-raised, Raw",Fish and shellfish and other seafood,75,8.7,2.1,4.9,0,36,6.9,1300,0,0.03,0.15,3,0,0
"Giant octopus(Enteroctopus dofleini), Raw",Fish and shellfish and other seafood,74,15.5,0.8,0.2,0,31,1,211,0,0.03,0.12,0,0,0
"Giant octopus(Enteroctopus dofleini), Dried",Fish and shellfish and other seafood,349,72,3.1,3.6,0,115,3,815,3,0.06,0.15,0,0,0
"Giant octopus(Enteroctopus dofleini), Boiled",Fish and shellfish and other seafood,99,21.7,0.7,0.1,0,19,0.2,230,5,0.03,0.05,0,0,0
"North Pacific giant octopus(Octopus dofleini), Raw",Fish and shellfish and other seafood,59,12.2,0.6,0.3,0,21,0.7,0,0,0,0,0,0,0
"Common octopus(Octopus vulgaris), Raw",Fish and shellfish and other seafood,56,12.7,0.2,0.1,0,23,0.5,0,0,0,0,0,0,0
"Warty sea squirt(Styela clava), Raw",Fish and shellfish and other seafood,45,4.3,1.2,4.1,0,40,3.2,0,0,0.03,0.13,4,0,0
"Wrinkled sea squirt(Styela plicata), Raw",Fish and shellfish and other seafood,54,9,0.7,2.3,0,89,8.5,0,0,0,0,0,0,0
"Red-banded lobster(Metanephrops thomsoni), Raw",Fish and shellfish and other seafood,72,15.2,0.5,0.6,0,196,7.4,0,0,0.02,0.04,0,0,0
"Siberian shrimp(Exopalaemon modestus), Raw",Fish and shellfish and other seafood,85,15.7,1.6,1,0,1341,1.8,0,9,0.05,0.1,2,0,0
"Giant red shrimp(Aristaeomorpha foliacea), Raw",Fish and shellfish and other seafood,93,20,0.8,0,0,71,1.4,0,0,0.04,0.1,0,0,0
"Southern rough shrimp(Trachysalambria curvirostris), Raw",Fish and shellfish and other seafood,114,22,2,0.6,0,48,6,0,0,0.02,0.06,0,0,0
"Southern rough shrimp(Trachysalambria curvirostris), Boiled and dried",Fish and shellfish and other seafood,306,55.5,5.9,4.1,0,4068,15.6,3500,0,0.15,0.1,0,0,0
"Southern rough shrimp(Trachysalambria curvirostris), Frozen",Fish and shellfish and other seafood,114,22,2,0.6,0,2410,0,0,0,0.02,0.06,0,0,0
"Southern rough shrimp(Trachysalambria curvirostris), Steamed",Fish and shellfish and other seafood,119,22.78,1.7,1.52,0,91,0.32,947,90,0.032,0.024,0,0,0
"Southern rough shrimp(Trachysalambria curvirostris), Deep-fried, Batter dipped",Fish and shellfish and other seafood,242,21.39,12.28,11.47,0.4,67,1.26,344,0,0.129,0.136,1.5,0,0
"Southern rough shrimp(Trachysalambria curvirostris), Boiled in soy sauce",Fish and shellfish and other seafood,234,25.9,2.6,25.8,0,125,20,0,0,0.01,0.11,0,0,0
"Spiny lobster(Panulirus japonicus), Raw",Fish and shellfish and other seafood,88,17,1.2,1.3,0,68,2,130,0,0.01,0.07,2,0,0
"Fleshy prawn(Fenneropenaeus chinensis), Raw",Fish and shellfish and other seafood,83,18.1,0.6,0.1,0,74,1.4,120,0,0.02,0.06,1,0,0
"Oriental prawn(Fenneropenaeus chinensis), Dried",Fish and shellfish and other seafood,358,62.4,3.5,15.6,0,236,4.6,620,0,0.16,0.34,0,0,0
"Morotoge shrimp(Pandalopsis japonica Balss), Raw",Fish and shellfish and other seafood,84,18,0.5,0.6,0,0,0,0,0,0,0,0,0,0
"Kuruma prawn(Marsupenaeus japonicus), Raw",Fish and shellfish and other seafood,71,15.1,0.7,0.1,0,87,1.1,140,0,0.07,0.08,1,0,0
"Kuruma prawn(Marsupenaeus japonicus), Boiled",Fish and shellfish and other seafood,124,28.2,0.5,0,0,61,1,200,4.666666667,0.09,0.05,0,23,2
"Japanese fan lobster(Ibacus ciliatus), Raw",Fish and shellfish and other seafood,66,13.7,0.8,0,0,84,1.3,362,0,0,0.05,1,0,0
"Siba shrimp(Metapenaeus joyneri), Raw",Fish and shellfish and other seafood,94,20.1,0.9,0.1,0,77,2.6,270,0,0,0.09,1,0,0
"Siba shrimp(Metapenaeus joyneri), Boiled and dried",Fish and shellfish and other seafood,299,54.4,6.2,2.9,0,2767,12.1,0,0,0.14,0.11,0,0,0
"Siba shrimp(Metapenaeus joyneri), Seasoned and dried",Fish and shellfish and other seafood,320,28.5,2,46.7,0,1078,6.5,0,0,0.03,0.1,0,0,0
"Siba shrimp(Metapenaeus joyneri), Canned",Fish and shellfish and other seafood,100,21.5,0.7,0.6,0,56,3,540,0,0.04,0.04,0,0,0
"Akiami paste shrimp(Acetes japonicus), Raw",Fish and shellfish and other seafood,62,9.6,1.2,2.6,0,695,0.7,360,3,0.09,0.12,2,0,0
"Akiami paste shrimp(Acetes japonicus), Jorim(Simmered in soy sauce and sugar)",Fish and shellfish and other seafood,233,19.1,1.8,35.1,0,490,7.1,2700,171.3333333,0.13,0.21,0,0,0
"Oriental river prawn(Macrobrachium nipponense), Raw",Fish and shellfish and other seafood,91,18.3,1.4,0,0,115,1.8,0,0,0.05,0.06,1,0,0
"Coonstriped Shrimp(Pandalus hypsinotus), Raw",Fish and shellfish and other seafood,91,18.5,0.9,0.9,0,338,0.6,0,0,0,0,0,0,0
"Japanese spear lobster(Linuparus trigonus), Raw",Fish and shellfish and other seafood,62,13.2,0.6,0,0,168,1,0,0,0.01,0.04,1,0,0
"Whiteleg shrimp(Litopenaeus vannamei), Raw",Fish and shellfish and other seafood,98,21.17,0.89,0,0,49,0.89,122,0,0.02,0.03,0,90.6,5.8
"Shrimp, Dried, Stir-fried",Fish and shellfish and other seafood,331,23.4,13.4,28.5,2.1,1567,41,981,45.83333333,0.03,0.2,0,0,0
"Shrimp edible, Shell, Raw",Fish and shellfish and other seafood,319,44,11.9,6.1,0,5,0.1,0,0,0,0,0,0,0
"Shrimp, Breaded, Frozen",Fish and shellfish and other seafood,139,10.2,1.9,20.3,0,42,1.5,340,0,0.04,0.07,1,0,0
"Shrimp, Breaded, Fried in soybean oil",Fish and shellfish and other seafood,263,6.43,13.53,28.84,1.5,78,0.45,392,0,0,0.021,0,6742.51,785.57
"Shrimp, Toguldaddagijeot(Salt-fermented)",Fish and shellfish and other seafood,55,10.1,0.6,1.7,0,591,2,8155,33,0.19,0.06,0,0,0
"Shrimp, Toguldongbakhajeot(Salt-fermented in winter)",Fish and shellfish and other seafood,51,8.3,1,1.6,0,473,1.2,9173,31,0.17,0.05,0,0,0
"Shrimp, Siba shrimp(Metapenaeus joyneri) products, Salt-fermented",Fish and shellfish and other seafood,92,15.8,2.6,0.3,0,688,24,0,0,0,0,0,0,0
"Shrimp, Salt-fermented",Fish and shellfish and other seafood,131,16,0.3,15.4,0,500,8,0,0,0,0,0,0,0
"Shrimp, Togulyukjeot(Salt-fermented in summer)",Fish and shellfish and other seafood,59,10.8,0.6,1.9,0,396,0.6,8791,39,0.18,0.09,0,0,0
"Shrimp, Akiami paste shrimp(Acetes japonicus), Salt-fermented",Fish and shellfish and other seafood,55,10.4,0.9,0.7,0,871,6.2,6200,0,0.07,0.09,0,0,0
"Shrimp, Chujeot(Salt fermented in fall)",Fish and shellfish and other seafood,49,9.1,0.6,1.2,0,461,0.9,9138,14,0.17,0.04,0,0,0
"Shrimp, Togulchujeot(Salt-fermented in fall)",Fish and shellfish and other seafood,48,8.9,0.5,1.5,0,421,1.2,8794,30,0.2,0.07,0,0,0
"Shrimp, Togulojeot(Salt-fermented)",Fish and shellfish and other seafood,59,10.8,0.4,2.5,0,390,0.5,8634,33,0.13,0.07,0,0,0
"Sea urchin(Echinoidea), Raw",Fish and shellfish and other seafood,152,15.8,8.5,2,0,20,4,190,0,0.03,0.4,0,0,0
"Sea urchin(Anthocidaris crassispina), Canned",Fish and shellfish and other seafood,140,14,5.1,8.9,0,136,5,0,0,0.01,0.83,0,0,0
"Purple sea urchin(Anthocidaris crassispina), Raw",Fish and shellfish and other seafood,177,16.1,8.7,7.6,0,70,2.4,0,120,0.27,0.42,0,0,0
"Purple sea urchin gonads(Anthocidaris crassispina) edible offal, Roe, Raw",Fish and shellfish and other seafood,177,16.1,8.7,7.6,0,70,2.4,0,225,0.27,0.42,0,0,0
"Sea urchin(Anthocidaris crassispina), Salt-fermented",Fish and shellfish and other seafood,134,21.4,2.8,4.4,0,32,6.2,680,0,0,0,0,0,0
"Purple sea urchin gonads(Anthocidaris crassispina), Roe, Salt-fermented",Fish and shellfish and other seafood,147,18.3,4.5,7.3,0,44,1.8,0,94.25,0.11,0.53,0,0,0
"Sea urchin(Echinoidea), Roe, Salt-fermented",Fish and shellfish and other seafood,105,9.2,1.5,13.4,0,22,0.7,4091,53,0.1,0.15,0,0,0
"Japanese flying squid(Todarodes pacificus), Raw",Fish and shellfish and other seafood,94,18.84,1.44,0.16,0,11,0.18,199,0,0.05,0.02,0,2,0.4
"Japanese flying squid(Todarodes pacificus), Dried",Fish and shellfish and other seafood,353,67.8,6.9,0.2,0,252,2.8,980,0,0.13,0.2,0,0,0
"Japanese flying squid(Todarodes pacificus), Frozen",Fish and shellfish and other seafood,88,17,1.5,0.5,0,11,0,0,2,0.03,0.12,0,0,0
"Japanese flying squid(Todarodes pacificus), Roasted",Fish and shellfish and other seafood,109,23.6,1,0.1,0,14,0.2,330,22,0.09,0.07,1,1,0
"Japanese flying squid(Todarodes pacificus), Fried",Fish and shellfish and other seafood,175,17.94,7.48,7.79,0,39,1.01,306,11,0.056,0.458,4.2,0,0
"Japanese flying squid(Todarodes pacificus), Seasoned and roasted",Fish and shellfish and other seafood,308,40.1,3.7,26.6,0,24,1.3,1685,0,0.05,0.01,0,0,0
"Japanese flying squid(Todarodes pacificus), Seasoned and smoked",Fish and shellfish and other seafood,213,34.4,2,12.4,0,29,4.3,1228,0,0.08,0.13,0,0,0
"Japanese flying squid(Todarodes pacificus), Seasoned and dried strip",Fish and shellfish and other seafood,297,63.5,2.7,0.4,0,35,3,930,0,0.06,0.03,0,0,0
"Cuttle fish(Speia esculenta), Raw",Fish and shellfish and other seafood,76,15.1,1.2,0.1,0,25,0.9,214,3,0.02,0.07,0,0,0
"Cuttle fish(Speia esculenta), Dried",Fish and shellfish and other seafood,340,66.8,4.7,3.2,0,137,4,0,0,0.05,0.28,0,0,0
"Japanese common squid(Todarodes pacificus), Raw",Fish and shellfish and other seafood,72,15.7,0.5,0.2,0,25,1.6,0,0,0,0,0,0,0
"Japanese spineless cuttlefish(Sepiella japonica), Raw",Fish and shellfish and other seafood,79,16.9,0.7,0.2,0,14,0.5,0,0,0,0,0,0,0
"Golden cuttlefish(Sepia esculenta), Raw",Fish and shellfish and other seafood,76,17.3,0.2,0.2,0,13,0.4,0,0,0,0,0,0,0
Deep-fried squid,Fish and shellfish and other seafood,308,11.9,18.1,24.3,0.7,25,3.1,360,1.5,0.07,0.3,6,0,0
"Japanese flying squid(Todarodes pacificus), Salt-fermented",Fish and shellfish and other seafood,77,14.3,0.9,2,0,139,1.5,3907,0,0.02,0.03,0,0,0
"Japanese flying squid(Todarodes pacificus), Seasoned, Salt-fermented",Fish and shellfish and other seafood,125,12.3,2.3,13.3,0,30,1.1,2374,39.91666667,0.04,0.05,1,0,0
"Japanese flying squid(Todarodes pacificus), Salt-fermented viscera",Fish and shellfish and other seafood,101,16,1.5,5,0,72,5,0,0,0.1,0.2,0,0,0
Stir-fried Dried Squid,Fish and shellfish and other seafood,278,18.6,4.2,41.4,1.5,27,8.6,1161,53.91666667,0.6,0.19,4,0,0
"Webfoot octopus(Octopus membranaceus), Raw",Fish and shellfish and other seafood,53,10.8,0.5,0.5,0,19,1.4,0,0,0.03,0.18,0,0,0
"Antarctic krill(Euphausia superba), Raw",Fish and shellfish and other seafood,76,12.1,2.6,0.2,0,401,2,420,158,0.13,0.25,2,0,0
"Antarctic krill(Euphausia superba), Boiled",Fish and shellfish and other seafood,104,17.7,2.9,0.4,0,22,1.1,240,1900,0.2,0.3,0,9,5
"Antarctic krill(Euphausia superba), Paste",Fish and shellfish and other seafood,128,16.5,5.5,2,0,180,0,0,0,0,0,0,0,0
"Mitra squid(Photololigo chinesis), Raw",Fish and shellfish and other seafood,81,14.9,1.8,0.3,0,12,0.4,258,3,0.05,0.01,0,0,0
"Sea cucumber(Stichopus japonicus), Raw",Fish and shellfish and other seafood,24,3.7,0.4,1.3,0,119,2.1,1300,0,0.01,0.03,0,0,0
"Sea cucumber(Stichopus japonicus), Dried",Fish and shellfish and other seafood,351,77.6,0.9,3,0,1384,53,2842,0,0.06,0.08,0,0,0
"Sea cucumber(Stichopus japonicus), Salted",Fish and shellfish and other seafood,35,4.9,0.5,2.4,0,75,5.5,6000,0,0,0,0,0,0
"Sea cucumber(Stichopus japonicus), Salt-fermented",Fish and shellfish and other seafood,33,5.5,0,2.5,0,36,10,0,0,0,0,0,0,0
"Sea cucumber(Stichopus japonicus), Salt-fermented viscera",Fish and shellfish and other seafood,45,7.7,1,0.8,0,80,4.3,4100,54.91666667,0.16,0.46,0,0,0
"Jelly-fish(Rhopilema esculenta), Raw",Fish and shellfish and other seafood,6,1.3,0,0.1,0,2,0,0,0,0,0,0,0,0
"Fish cake, Steamed",Fish and shellfish and other seafood,115,9.75,1.09,16.53,0.3,49,0.54,760,4,0,0.031,0,26.66,3.19
"Fish cake, Roasted",Fish and shellfish and other seafood,141,15.4,1.7,15.6,0,179,4,0,0,0,0,0,0,0
"Fish cake, Fried",Fish and shellfish and other seafood,167,11.44,4.49,20.69,0.3,49,0.54,699,26.25,0,0.025,0,2060.12,236.59
"Fish paste, With crab",Fish and shellfish and other seafood,112,10.8,0.8,15.2,0,218,0.8,792,0,0.03,0.12,0,0,0
"Fish cake, Boiled broth",Fish and shellfish and other seafood,3,0.09,0.15,0.4,0,1,0,66,0,0,0,0,72.47,8.53
"Eomukguk(Fish paste soup), Cooked",Fish and shellfish and other seafood,43,3.1,0.8,5.7,3.2,16,3.5,344,4.916666667,0.1,0.05,0,0,0
Fish sausage,Fish and shellfish and other seafood,175,9.01,7.45,17.79,0,34,0.42,584,2.166666667,0.007,0.151,15.9,1126.09,70.39
"Whiparm octopus(Octopus variabilis), Salted and fermented, Raw",Fish and shellfish and other seafood,160,10,1.36,27.09,0,54,2.35,1363,72.16666667,0.093,0.103,0,574.26,22.7
"Common sea squirt(Halocynthia roretzi), Salted and fermented",Fish and shellfish and other seafood,139,9.25,1.19,22.95,0,41,1.77,1712,97.66666667,0.039,0.158,0,439.31,25.12
"Seaweed papulosa(Meristotheca papulosa), Raw",Seaweeds,12,0.9,0.2,4.6,0,79,1.2,380,0,0,0.03,0,0,0
"Seaweed(Ecklonia stolonifera), Dried",Seaweeds,141,12.9,1.3,54.7,0,921,20.6,0,1.5,0.18,0.14,0,0,0
"Seaweed(Ecklonia stolonifera), Powder",Seaweeds,129,10,1.4,51.4,0,0,0,0,0,0,0,0,0,0
"Laver(Porphyra tenera), For Gimbap, Dried",Seaweeds,179,42.3,4.7,36.5,0,300,10.6,258,1215.25,0.79,3.62,157,0,0
"Laver(Porphyra suborbiculata), Grown on underwater rocks, Dried",Seaweeds,165,35.5,1.7,43.3,0,412,18.6,0,2100,1.15,2.7,71,0,0
"Laver(Porphyra tenera), Seasoned, Dried",Seaweeds,307,37.69,49.23,4.82,0,174,5.78,1299,990.9166667,0.02,1.335,78.11,10535.28,3838
"Laver(Porphyra tenera), Korean type, Dried",Seaweeds,163,41.8,1.5,36.4,0,265,15.3,859,974.1666667,0.65,1.13,16,0,0
"Laver(Porphyra tenera), Raw",Seaweeds,12,3.3,0.4,2,0,490,4.5,144,0,0,0,0,0,0
"Laver(Porphyra tenera), Dried",Seaweeds,165,38.6,1.7,40.3,0,325,17.6,1294,1875,1.2,2.95,93,0,0
"Laver(Porphyra tenera), Roasted",Seaweeds,174,43.3,0.9,41.7,0,257,18.3,491,1010.5,0.31,5.63,106,0,0
"Laver(Porphyra tenera), For sushi, Dried",Seaweeds,151,32.7,0.8,40.9,0,196,17.6,120,1687.416667,0.4,3.36,21,0,0
"Sea string(Gracilaria Verrucosa), Raw",Seaweeds,17,1.8,0.2,6.2,0,630,6.9,75,19.5,0.02,0.2,9,0,0
"Brown Kelp(Laminaria japonica), Raw",Seaweeds,12,1.1,0.2,4.2,0,103,2.4,75,64.5,0.03,0.13,14,0,0
"Brown Kelp(Laminaria japonica), Dried",Seaweeds,110,7.4,1.1,45.2,0,708,6.3,3100,48,0.22,0.45,18,0,0
"Brown Kelp(Laminaria japonica), Salted",Seaweeds,16,1.2,0.3,6,0,145,1.4,10854,10.41666667,0.03,0.05,0,0,0
"Brown Kelp(Laminaria japonica), Boiled, Broth",Seaweeds,1,0.1,0,0.3,0,2,0,31,0,0.05,0.09,0,0,0
"Brown Kelp(Laminaria japonica), Twi-gak, Fried",Seaweeds,228,3.6,23,58.8,0,240,5,1383,42.66666667,0.03,0.09,17,0,0
"Sea oak(Eisenia bicyclis), Dried",Seaweeds,145,7.3,0.2,64.5,0,811,5.5,2900,37.5,0.05,0.32,1,0,0
"Seaweed wrightii(Pelvetia siliquosa), Dried",Seaweeds,128,6.1,2.5,52.1,0,1090,23.9,0,27,0.04,0.16,6,0,0
"Seaweed fulvescens(Capsosiphon fulvescens), Raw",Seaweeds,39,3.88,3.29,8.19,6.5,91,18.3,104,0,0,0.03,0,26.8,162.4
"Seaweed fulvescens(Capsosiphon fulvescens), Dried",Seaweeds,125,20.6,0.5,40.6,0,574,43.1,0,0,0,0,0,0,0
"Gulf weed(Sargassum fulvellum), Raw",Seaweeds,15,1.8,0.2,5.2,0,209,2.1,0,0,0,0,0,0,0
"Gulf weed(Sargassum fulvellum), Dried",Seaweeds,129,15.2,1.7,45.7,0,935,67.3,0,367.5,0.21,0.61,2,0,0
"Gulf weed(Sargassum fulvellum), Powder",Seaweeds,127,14,3.9,40.8,0,0,0,0,0,0,0,0,0,0
"Gulf weed(Sargassum fulvellum), Salted",Seaweeds,18,3.1,0.2,5.4,0,221,9.1,0,22.5,0.03,0.04,3,0,0
"Sea mustard(Undaria pinnatifida), Wild-caught, Raw",Seaweeds,18,3,0.3,5.1,0,149,1.1,610,157.5,0.06,0.14,15,0,0
"Sea mustard(Undaria pinnatifida), Dried",Seaweeds,149,20.31,4.83,43.65,35.6,1109,6.1,7535,515.4166667,0,0.101,0,323.08,511.71
"Sea mustard(Undaria pinnatifida), Powder",Seaweeds,134,10.7,1.8,52.4,0,0,0,0,0,0,0,0,0,0
"Sea mustard(Undaria pinnatifida), Salted",Seaweeds,34,6,0.9,8.8,0,178,3.2,0,81,0.04,0.08,3,0,0
"Sea mustard(Undaria pinnatifida), Salted, Blanched",Seaweeds,35,6,0.9,9.3,0,178,3.2,13000,81,0.04,0.08,3,0,0
"Sea mustard(Undaria pinnatifida), Stem, Raw",Seaweeds,14,1.8,0.2,4.6,0,120,0.4,520,30,0.03,0.06,12,0,0
"Sea mustard(Undaria pinnatifida), Stem, Desalted, Boiled",Seaweeds,15,1.1,0.3,5.5,5.1,86,0.4,3100,4.666666667,0.02,0.02,0,9,14
"Sea mustard(Undaria pinnatifida), Farm-raised, Raw",Seaweeds,15,2.1,0.2,5,0,153,1,0,153.75,0.06,0.16,18,0,0
"Sea mustard(Undaria pinnatifida), Wild, Raw",Seaweeds,12,1.68,0.29,3.7,3.6,79,0.46,361,0,0.06,0.07,7.5,9.5,10.2
"Sea mustard(Undaria pinnatifida), Dried, Fried",Seaweeds,283,9.75,38.02,46.21,38.7,766,11.75,1038,26.66666667,0,0.055,0,17883.6,398.52
"Seaweed furcata(Gloiopeltis furcata), Dried",Seaweeds,147,16.5,0.6,55.7,0,481,28.4,0,0,0.1,0.23,6,0,0
"Silk fabric(Ceramium kondoi), Dried",Seaweeds,153,12,0.2,64.1,0,1137,65.1,0,0,0,0,0,0,0
"Seaweed hypnaeoides(Campylaephora hypnaeoides), Dried",Seaweeds,38,9.6,0.2,9.1,0,215,7.6,0,1.5,0.05,0.32,0,0,0
"Water shield(Brasenia schreberi J.F.Gmelin), Raw",Seaweeds,22,2.5,0.7,7.1,0,171,6.9,0,532.5,0.25,0.27,97,0,0
"Ceylon moss(Gelidium amansii), Raw",Seaweeds,46,4.2,0.2,18.5,0,183,3.9,0,180,0.04,0.43,15,0,0
"Ceylon moss(Gelidium amansii), Agar-gel",Seaweeds,2,0.1,0,0.8,0,10,0.3,0,0,0,0,0,0,0
"Japanese isinglass(Gelidium amansii Lamouroux), Agar-agar",Seaweeds,154,2.3,0.1,74.6,0,523,7.8,0,0,0,0,0,0,0
"Carragheen(Chondrus ocellatus), Dried",Seaweeds,119,2.5,1.5,53.5,0,535,320,551,0,0.06,0.3,1,0,0
"Sea staghom(Codium fragile Hariot), Raw",Seaweeds,8,1.4,0.4,1.6,0,37,2.5,0,22.5,0.01,0.05,9,0,0
"Sea staghom(Codium fragile Hariot), Dried",Seaweeds,156,13.8,0.8,62.6,0,0,0,0,0,0,0,0,0,0
"Green laver, Dried",Seaweeds,180,20.7,0.3,68.7,0,535,320,530,0,0.06,0.3,1,0,0
"Chlorella(Chlorella spp.), Dried",Seaweeds,174,45.3,7.2,25.7,0,117,73.4,0,0,0,0,0,0,0
"Seaweed fusiforme(Hizikia fusiforme), Raw",Seaweeds,14,1.9,0.4,4,0,157,3.9,0,31.5,0.01,0.07,4,0,0
"Seaweed fusiforme(Hizikia fusiforme), Dried",Seaweeds,81,6.6,0.8,32,0,768,76.2,0,0,0,0,0,0,0
"Seaweed fusiforme(Hizikia fusiforme), Boiled and dried",Seaweeds,135,6.2,0.8,59.7,0,1250,47,0,37.5,0.01,0.11,0,0,0
"Sea lettuce(Enteromorpha prolifera), Raw",Seaweeds,11,2.18,0.15,2.95,2.1,55,4.1,122,0,0.29,0.14,36,4.2,27.8
"Sea lettuce, Dried",Seaweeds,144,23.8,0.6,46.7,0,652,17.2,0,0,0.4,0.52,10,0,0
"Sea lettuce(Enteromorpha prolifera), Dried",Seaweeds,136,20,0.7,46.5,0,646,37.2,110,172.5,0.29,1.34,36,0,0
"Sea lettuce(Ulva lactuca), Dried",Seaweeds,129,23.1,0.5,40.1,0,1015,8.7,0,64.5,0.04,0.39,13,0,0
"Sea lettuce(Enteromorpha linza), Dried",Seaweeds,17,3.3,0.7,3.5,0,93,11.9,0,52.5,0.1,0.26,17,0,0
"Sea lettuce(Enteromorpha intestinalis), Dried",Seaweeds,142,23.6,0.8,45.8,0,866,28.5,0,1437,0.35,1.82,40,0,0
"Sea lettuce(Monostroma nitidium), Dried",Seaweeds,146,17.2,1.1,53.2,0,630,10.3,0,315,0.33,0.21,53,0,0
Human milk,Milk and dairies,65,1.1,3.5,7.2,0,27,0.04,15,45,0.01,0.03,5,490,47
"Infant formular, The first 3 months",Milk and dairies,508,12.41,25.75,56.88,0,553,3.98,164,556.75,0.644,0.604,100.5,5569.65,505.03
"Infant formular, Between the ages of 4 and 6 months",Milk and dairies,506,12.63,25.38,56.93,0,635,5.72,171,489.9166667,0.627,0.671,93.29,5374.08,490.16
"Infant formular, Between the ages of 7 and 12 months",Milk and dairies,477,16.91,20.65,56.04,0,851,7.9,185,529.0833333,0.637,0.723,82.98,4166.51,391.62
"Milk powder, Whole milk",Milk and dairies,509,25.46,27.32,39.07,0,977,0.13,322,418.5833333,0.168,1.064,8.41,632.97,61.25
