,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"Wheat, Bread crumb",Grains and grain products,392,11.95,2.05,77.04,4.2,21,0.77,306,0,0.086,0.044,40.97,626.77,32.11
"Wheat, Sinmichalmil, Polished, Raw",Grains and grain products,334,11.3,1.6,74.2,0,24,5.9,6,0,0.3,0.22,0,0,0
"Wheat flour, White, All-purpose",Grains and grain products,375,10.34,1.01,76.64,2.7,17,0.73,1,0,0.161,0.024,0.17,545.39,34.21
"Wheat flour, Whole",Grains and grain products,365,11.9,1.6,71.5,3.7,26,3,5,0.5,1.7,0.06,0,0,0
"Wheat flour, Frying, Seasoned, Dry mix",Grains and grain products,367,7.22,0.8,78.41,2.2,72,0.89,876,0,0.128,0.062,0,430.98,27.35
"Wheat flour, Pancake, Dry mix",Grains and grain products,394,7.9,4.9,75.9,0,102,0.4,735,0,0.11,0.3,0,0,0
"Wheat, Heungmil, Polished, Raw",Grains and grain products,328,12.9,0.9,72.5,0,37,5,6,0,0.38,0.22,0,0,0
"Wheat, Kamut, USA, Dried",Grains and grain products,334,13.74,1.91,71.16,11.9,24,3.32,3,0.916666667,0.309,0.104,0,1038.68,71.6
"Snack, Hard tack",Grains and grain products,419,9.92,8.67,75.37,6.9,23,1.55,457,0,0.287,0.372,0.17,1614.99,84.41
"Snack, Manju, Chestnut",Grains and grain products,330,6.35,2.39,70.86,4.5,43,1.48,158,0.916666667,0.037,0.322,0.37,544.27,129.42
"Snack, Monaka",Grains and grain products,346,3.35,0.29,82.62,2.4,21,1.29,64,0.416666667,0.06,0.31,0,91.35,62.98
"Snack, Biscuits, Hard type",Grains and grain products,534,6.68,28.58,62.63,2.1,42,6.99,481,5.416666667,1.084,0.653,0.03,2893.55,88.63
"Snack, Biscuits, Soft type",Grains and grain products,489,5.7,24.93,60.34,2.1,184,3.27,227,80.58333333,0.603,0.154,0.05,2491.76,442
"Snack, Apple pie",Grains and grain products,471,5.5,21,64.98,1.9,11,0.41,207,32.66666667,0.065,0.065,5.25,2589.48,176.64
"Snack, Jeonbyeong",Grains and grain products,398,7.5,3.5,84,1.1,25,0.9,130,45,0.04,0.1,0,750,34
"Snack, Jeonbyeong, Green laver",Grains and grain products,420,6.7,6.9,82.8,0,15,0.6,150,3.75,0.11,0.05,0,0,0
"Snack, Shrimp",Grains and grain products,494,6.04,22.77,66.32,2.5,137,1.14,577,0,0.136,0.02,0,5742.79,170.84
"Snack, Corn",Grains and grain products,520,5.25,26.27,65.73,1.1,163,1.01,420,12.66666667,0,0.013,0,8143.04,115.07
"Snack, Yakgwa, Plain",Grains and grain products,422,3.8,13.3,71.7,0,5,2.6,34,0,0.06,0.09,0,0,0
"Snack, Yakgwa, Honey and jujube",Grains and grain products,428,4.5,16.3,65.7,0,8,0.3,18,0,0.05,0.02,0,0,0
"Waffle, Plain",Grains and grain products,291,7.9,14.1,32.9,0,255,2.31,511,64,0.263,0.347,0.4,0,0
"Waffle, With jam",Grains and grain products,287,4.8,4.2,57.3,1.3,53,0.5,51,29.16666667,0.05,0.11,5,550,50
"Waffle, With custard cream",Grains and grain products,252,7.3,7.9,38.1,0,95,0.8,65,76,0.08,0.19,1,910,55
