name,ingredient,weight,category,note
S sesame porridge,"Sesame seeds, Black sesame, Dried",11,Soup (snack),Korean
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",25,,
S mung bean porridge,"Rice, White, Raw",25,Soup (snack),Korean
,"Mungbean, Dried",10,,
,Sesame oil,1.2,,
,"Salt, Table salt",0.2,,
S rice crust porridge,"Rice, White, Raw",25,Soup (snack),Korean
S rice crust cheese porridge,"Rice, White, Raw",25,Soup (snack),Korean
,"Salt, Table salt",0.2,,
,"Cheese, Cheddar",5,,
S oyster mushroom porridge,"Oyster mushroom, Raw",15,Soup (snack),Korean
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",25,,
,Sesame oil,1,,
S pumpkin porridge,"Pumpkin(Cucurbita moschata Duchesne), Old, Raw",15,Soup (snack),Korean
,"Rice, White, Raw",15,,
,"Salt, Table salt",0.2,,
,"Glutinous rice, Raw",10,,
S brown kelp white fish porridge,"Brown Kelp(Laminaria japonica), Raw",5,Soup (snack),Korean
,Sesame oil,1.2,,
,"Alaska pollock(Theragra chalcogramma), Frozen",15,,
,"Rice, White, Raw",25,,
S sweet red bean porridge,"Adzuki bean(Vigna angularis), Red, Dried",30,Soup (snack),Korean
,"Salt, Table salt",0.2,,
,"Sugars, White sugar",2,,
,"Glutinous rice, Raw",15,,
S sweet pumpkin soup,"Pumpkin(Cucurbita maxima Lam.), Kabocha squash, Raw",25,Soup (snack),Western
,"Onion, Raw",5,,
,"Wheat flour, White, All-purpose",5,,
,Butter,5,,
,"Salt, Table salt",0.2,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
S sweet pumpkin porridge,"Pumpkin(Cucurbita maxima Lam.), Kabocha squash, Raw",30,Soup (snack),Korean
,"Glutinous rice, Raw",15,,
,"Sugars, White sugar",2,,
,"Salt, Table salt",0.2,,
S sweet pumpkin cream soup,"Pumpkin(Cucurbita maxima Lam.), Kabocha squash, Raw",20,Soup (snack),Western
,Cow's milk,50,,
,"Onion, Raw",10,,
,"Wheat flour, White, All-purpose",5,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
,"Salt, Table salt",0.2,,
,Butter,5,,
S egg carrot porridge,"Egg, Whole, Raw",20,Soup (snack),Korean
,Sesame oil,1.2,,
,"Carrot, Roots, Raw",5,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",25,,
S egg chive porridge,"Egg, Whole, Raw",30,Soup (snack),Korean
,"Chinese chive(Allium senescens var. minor), Raw",10,,
,Sesame oil,1.2,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",25,,
S egg porridge,"Egg, Whole, Raw",20,Soup (snack),Korean
,"Potato, Daeji, Raw",3,,
,Sesame oil,1.2,,
,"Onion, Raw",3,,
,"Pumpkin(Cucurbita moschata), Young pumpkin, Raw",3,,
,"Carrot, Roots, Raw",3,,
,"Rice, White, Raw",25,,
S egg veggie porridge,"Egg, Whole, Raw",20,Soup (snack),Korean
,"Rice, White, Raw",25,,
,"Carrot, Roots, Raw",5,,
,"Onion, Raw",5,,
,Sesame oil,1.2,,
,"Welsh onion, Raw",1,,
,"Salt, Table salt",0.2,,
S chicken corn porridge,"Chicken, Meat only, Raw",15,Soup (snack),Korean
,"Corn, Raw",10,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",20,,
S chicken veggie porridge,"Chicken, Meat only, Raw",15,Soup (snack),Korean
,Sesame oil,1.2,,
,"Onion, Raw",3,,
,"Pumpkin(Cucurbita moschata), Young pumpkin, Raw",3,,
,"Carrot, Roots, Raw",3,,
,"Potato, Daeji, Raw",3,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",25,,
S chicken black sesame porridge,"Chicken, Meat only, Raw",15,Soup (snack),Korean
,"Sesame seeds, Black sesame, Dried",8,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",25,,
S whole chicken soup,"Chicken, Meat and skin, Fowl, Raw",30,Soup (snack),Korean
,"Onion, Raw",5,,
,"Glutinous rice, Raw",20,,
,"Jujube(Ziziphus jujuba Mill.), Dried",0.5,,
,"Koeran ginseng(Panax ginseng C. A. Mey.), Fresh, Raw",1,,
,"Salt, Table salt",0.2,,
,"Garlic, Bulb, Raw",0.2,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
S chicken aubergine porridge,"Chicken, Meat only, Raw",15,Soup (snack),Korean
,"Eggplant(Solanum melongena L.), Raw",10,,
,Sesame oil,1.2,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",25,,
S chicken napa cabbage porridge,"Chicken, Meat only, Raw",15,Soup (snack),Korean
,"Chinese cabbage, Raw",10,,
,Sesame oil,1.2,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",25,,
S chicken cabbage porridge,"Chicken, Meat only, Raw",15,Soup (snack),Korean
,Sesame oil,1.2,,
,"Cabbage, Raw",10,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",25,,
S deluxe chicken porridge(korean style),"Chicken, Meat and skin, Fowl, Raw",15,Soup (snack),Korean
,"Carrot, Roots, Raw",3,,
,"Glutinous rice, Raw",15,,
